File Name,Flutype,Result,RC,Message,Include Proof,Mobile out
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20191202_135332.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20191202_135338.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20191202_135501.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20191202_135510.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20191202_135513.jpg,Atype,FAIL,0,Negative,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20191202_135517.jpg,Atype,FAIL,0,Negative,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20191202_135521.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20191202_135524.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200107_185404.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200107_185406.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200107_185408.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200107_195004.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200107_195006.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200107_195008.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200108_131613.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200108_131615.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200108_131616.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength0\IMG_20200108_131621.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135023.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135025.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135056.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135059.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135102.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135108.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135110.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135114.jpg,Atype,PASS,1,Atype,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135117.jpg,Atype,FAIL,0,Negative,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135119.jpg,Atype,PASS,1,Atype,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135123.jpg,Atype,FAIL,0,Negative,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135125.jpg,Atype,FAIL,0,Negative,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135128.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20191202_135130.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200107_185425.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200107_185427.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200107_185432.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200107_185434.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200107_185436.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200107_185438.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200108_131732.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200108_131738.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200108_131741.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200108_131743.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200108_131805.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200108_131807.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200108_131809.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength1\IMG_20200108_131809_1.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134632.jpg,Atype,FAIL,0,Negative,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134638.jpg,Atype,FAIL,-1,No_control_line,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134644.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134653.jpg,Atype,FAIL,-1,No_control_line,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134658.jpg,Atype,PASS,1,Atype,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134721.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134723.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134725.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134729.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134732.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20191202_134734.jpg,Atype,PASS,1,Atype,TRUE,Outside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20200107_185451.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20200107_185453.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20200107_185455.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20200107_185456.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20200107_185458.jpg,Atype,FAIL,0,Negative,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20200107_185501.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
C:\Users\Kashyap\bkp\source\repos\audere\RDT_Test_Images\FluA\Strength2\IMG_20200108_131904.jpg,Atype,PASS,1,Atype,TRUE,Inside Specs
